Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,,
B1,10/10/01,Genk,Aalst,5,0,H,3,0,H,,,,1.7,3.1,3.8,1.8,3.4,3.6,1.73,3.4,4,1.6,3.6,4.25,,
B1,10/10/01,Lierse,Club Brugge,0,2,A,0,2,A,,,,3.3,3,1.85,3.3,3.1,2,3.25,3.4,1.91,3.15,3.4,1.9,,
B1,10/10/01,Lokeren,Molenbeek,4,0,H,2,0,H,,,,1.4,3.6,5.5,1.533,3.6,5,1.53,3.6,5,1.45,3.8,5.4,,
B1,10/10/01,Mouscron,Germinal,3,1,H,1,1,D,,,,2,2.9,3,2,3.3,3.1,2.1,3.25,2.9,1.95,3.4,3,,
B1,10/10/01,Westerlo,St Truiden,0,0,D,0,0,D,,,,1.7,3.1,3.8,1.909,3.25,3.4,1.91,3.4,3.25,1.85,3.45,3.25,,
B1,13/10/01,Gent,Genk,0,0,D,0,0,D,,,,1.7,3.1,3.8,1.8,3.25,3.8,1.8,3.25,3.75,1.9,3.35,3.2,,
B1,13/10/01,Charleroi,Louvieroise,2,1,H,1,0,H,,,,1.5,3.4,4.7,1.444,3.5,7,1.44,3.75,6,,,,,
B1,13/10/01,Lommel,Anderlecht,2,2,D,1,1,D,,,,3.9,3.2,1.65,3.8,3.4,1.75,4.33,3.4,1.67,3.85,3.45,1.7,,
B1,13/10/01,Molenbeek,Beveren,3,0,H,2,0,H,,,,1.9,3,3.1,2.1,3.3,2.875,2.1,3.4,2.8,2.1,3.35,2.75,,
B1,13/10/01,Mouscron,Westerlo,1,2,A,1,1,D,,,,1.8,3,3.5,1.833,3.2,3.75,1.73,3.4,4,1.7,3.55,3.75,,
B1,13/10/01,St Truiden,Lokeren,1,0,H,1,0,H,,,,2.35,3,2.35,2,3.3,3.1,2.1,3.4,2.8,2.05,3.4,2.8,,
B1,13/10/01,Standard,Antwerp,4,2,H,2,1,H,,,,1.4,3.6,5.5,1.4,3.75,7,1.4,4,6.5,1.45,3.75,5.5,,
B1,14/10/01,Aalst,Lierse,0,2,A,0,0,D,,,,2,2.9,3,1.85,3.4,3.4,1.91,3.4,3.25,1.95,3.45,3,,
B1,14/10/01,Germinal,Club Brugge,1,2,A,0,1,A,,,,3.1,3,1.9,3.1,3.2,2.05,3.25,3.4,1.91,3.15,3.4,1.9,,
B1,20/10/01,Anderlecht,Charleroi,2,1,H,1,0,H,1.32,4.25,7.5,1.25,4.3,8,1.333,4.2,7.5,,,,1.3,4.3,7.3,,
B1,20/10/01,Antwerp,Molenbeek,1,2,A,0,1,A,1.7,3.4,4.2,1.6,3.3,4,1.667,3.5,4.2,,,,1.65,3.55,4,,
B1,20/10/01,Genk,Lommel,4,2,H,2,1,H,1.45,3.7,6,1.45,3.5,5,1.444,3.75,6,,,,1.4,3.75,6.5,,
B1,20/10/01,Lokeren,Mouscron,2,1,H,1,0,H,2,3.2,3.3,2,3,2.9,2,3.2,3.2,,,,1.85,3.4,3.3,,
B1,21/10/01,Beveren,St Truiden,3,2,H,0,0,D,2.5,3.15,2.45,2.35,3,2.35,2.5,3.2,2.4,,,,2.4,3.3,2.4,,
B1,21/10/01,Club Brugge,Aalst,3,0,H,2,0,H,1.15,4.65,9,1.25,4.3,8,1.364,3.75,8,,,,1.25,4.6,8.5,,
B1,21/10/01,Louvieroise,Standard,3,1,H,1,1,D,3.58,3.3,1.85,3.6,3.2,1.7,3.5,3.3,1.85,,,,,,,,
B1,21/10/01,Lierse,Gent,1,2,A,1,1,D,2.48,3.15,2.48,2.4,2.9,2.4,2.5,3.2,2.4,,,,2.45,3.3,2.35,,
B1,21/10/01,Westerlo,Germinal,1,2,A,0,0,D,1.9,3.25,3.5,1.85,3,3.3,1.909,3.25,3.4,,,,1.8,3.55,3.3,,
B1,27/10/01,Charleroi,Genk,0,3,A,0,2,A,2.6,3.05,2.45,2.6,3,2.2,2.5,3.25,2.4,2.5,3.2,2.4,2.3,3.3,2.5,,
B1,27/10/01,Germinal,Aalst,4,0,H,1,0,H,1.6,3.5,5,1.7,3.1,3.8,1.8,3.25,3.8,1.73,3.4,4,1.65,3.45,4.2,,
B1,27/10/01,Molenbeek,Louvieroise,1,0,H,0,0,D,1.85,3.3,3.6,1.9,3,3.1,1.8,3.4,3.6,1.8,3.4,3.6,,,,,
B1,27/10/01,St Truiden,Antwerp,3,1,H,1,0,H,1.7,3.4,4.15,1.75,3.1,3.6,1.73,3.4,4,1.67,3.4,4.33,1.65,3.55,4,,
B1,27/10/01,Standard,Anderlecht,1,0,H,0,0,D,2.55,3.05,2.5,2.35,3,2.35,2.5,3.25,2.4,2.4,3.4,2.4,2.5,3.3,2.37,,
B1,27/10/01,Westerlo,Lokeren,0,1,A,0,0,D,2.2,3.1,2.9,2.1,2.9,2.9,2,3.3,3.1,2.1,3.25,2.88,2,3.4,2.9,,
B1,28/10/01,Gent,Club Brugge,2,2,D,1,0,H,2.6,3.05,2.45,2.35,3,2.35,2.5,3.2,2.4,2.38,3.25,2.5,2.6,3.3,2.3,,
B1,28/10/01,Lommel,Lierse,2,2,D,2,1,H,2.2,3.15,2.85,2.3,2.9,2.5,2.1,3.25,2.9,2.1,3.4,2.8,2.1,3.35,2.75,,
B1,28/10/01,Mouscron,Beveren,3,0,H,1,0,H,1.65,3.4,4.3,1.55,3.3,4.5,1.62,3.5,4.5,1.62,3.5,4.5,1.65,3.55,4,,
B1,31/10/01,Lokeren,Charleroi,1,0,H,0,0,D,1.7,3.55,3.85,1.7,3.1,3.8,1.8,3.3,3.75,,,,1.7,3.5,3.8,,
B1,03/11/01,Anderlecht,Molenbeek,2,2,D,1,1,D,1.25,4.8,9,1.25,4.3,8,1.25,5,8,1.2,5.5,9,1.25,4.75,8,,
B1,03/11/01,Antwerp,Mouscron,2,1,H,1,1,D,2.25,3.2,2.7,2.3,3,2.4,2.2,3.4,2.62,2.2,3.4,2.62,2.2,3.4,2.6,,
B1,03/11/01,Beveren,Westerlo,1,1,D,1,0,H,2.45,3.1,2.55,2.6,3,2.2,2.4,3.2,2.5,2.4,3.4,2.4,2.25,3.4,2.5,,
B1,03/11/01,Lierse,Charleroi,1,2,A,1,1,D,1.75,3.5,3.8,1.7,3.1,3.8,1.83,3.4,3.5,1.83,3.4,3.5,1.8,3.5,3.4,,
B1,03/11/01,Lokeren,Germinal,3,2,H,1,0,H,1.8,3.4,3.6,1.8,3,3.5,1.85,3.4,3.4,1.91,3.25,3.4,1.8,3.4,3.5,,
B1,04/11/01,Aalst,Gent,1,3,A,0,2,A,3.4,3.25,1.9,3.1,3,1.9,3.25,3.3,1.95,3,3.4,2,3.4,3.5,1.8,,
B1,04/11/01,Club Brugge,Lommel,3,1,H,2,0,H,1.22,5,9.5,1.2,4.7,9,1.2,5,11,1.25,5,8,1.3,4.5,7,,
B1,04/11/01,Genk,Standard,1,1,D,0,1,A,1.73,3.55,3.8,1.8,3,3.5,1.83,3.4,3.5,1.8,3.4,3.6,1.75,3.5,3.6,,
B1,04/11/01,Louvieroise,St Truiden,1,0,H,0,0,D,2.55,3.1,2.45,2.35,3,2.35,2.5,3.2,2.4,2.6,3.1,2.38,,,,,
B1,11/11/01,Germinal,Antwerp,2,0,H,0,0,D,1.7,3.35,4.3,1.75,3.1,3.6,1.7,3.4,4.2,,,,1.7,3.4,3.9,,
B1,24/11/01,Germinal,Gent,3,2,H,1,2,A,2.55,3.2,2.4,2.35,3,2.35,,,,,,,2.4,3.3,2.4,,
B1,24/11/01,Lokeren,Beveren,1,0,H,0,0,D,1.4,3.9,6.6,1.25,4.3,8,1.4,3.75,7,,,,1.4,3.75,6.3,,
B1,24/11/01,Lommel,Aalst,1,1,D,1,1,D,1.83,3.25,3.8,1.75,3.1,3.6,1.9,3.25,3.4,,,,1.8,3.5,3.35,,
B1,24/11/01,Mouscron,Louvieroise,2,0,H,2,0,H,1.56,3.5,5.1,1.45,3.5,5,1.57,3.5,5,,,,,,,,
B1,24/11/01,St Truiden,Anderlecht,0,2,A,0,0,D,3.1,3.35,2,2.9,3,2,3,3.3,2.05,,,,3.15,3.4,1.9,,
B1,24/11/01,Standard,Lierse,2,1,H,1,0,H,1.51,3.6,5.5,1.5,3.4,4.7,1.5,3.6,5.5,,,,1.5,3.6,5.25,,
B1,24/11/01,Westerlo,Antwerp,2,1,H,0,0,D,1.85,3.3,3.6,1.6,3.2,4.2,1.9,3.2,3.5,,,,1.8,3.4,3.5,,
B1,25/11/01,Charleroi,Club Brugge,0,4,A,0,2,A,4,3.3,1.76,4.7,3.4,1.5,3.75,3.3,1.8,,,,3.8,3.2,1.8,,
B1,25/11/01,Molenbeek,Genk,2,5,A,0,2,A,,,,,,,,,,,,,,,,,
B1,28/11/01,Gent,Standard,2,5,A,1,4,A,1.84,3.25,3.7,1.75,3.1,3.6,1.8,3.3,3.75,1.8,3.4,3.6,1.95,3.2,3.2,,
B1,28/11/01,Aalst,Molenbeek,2,4,A,2,1,H,1.9,3.3,3.4,1.8,3,3.5,1.8,3.25,3.75,1.83,3.5,3.4,1.9,3.45,3.1,,
B1,28/11/01,Anderlecht,Lokeren,0,0,D,0,0,D,1.47,3.8,5.5,1.6,3.2,4.2,1.5,3.6,5.5,1.53,3.6,5,1.5,3.7,5,,
B1,28/11/01,Club Brugge,St Truiden,2,0,H,1,0,H,1.23,5.1,9,1.3,4,7,1.25,5,8,1.25,4.5,10,1.25,4.5,8.5,,
B1,28/11/01,Genk,Westerlo,2,0,H,0,0,D,1.44,3.85,6,1.5,3.4,4.7,1.44,3.75,6,1.44,3.75,6,1.4,3.7,6.5,,
B1,28/11/01,Louvieroise,Beveren,3,2,H,1,1,D,1.82,3.35,3.65,1.75,3.1,3.6,1.9,3.4,3.25,1.83,3.4,3.5,,,,,
B1,28/11/01,Lierse,Mouscron,3,3,D,2,2,D,1.95,3.25,3.3,1.9,2.9,3.2,1.9,3.25,3.4,2,3.3,3.1,1.9,3.45,3.1,,
B1,28/11/01,Lommel,Charleroi,5,1,H,2,0,H,2.1,3.25,2.95,2,2.9,3,2.2,3.4,2.62,2.1,3.2,3,2.25,3.3,2.55,,
B1,01/12/01,Gent,Lommel,0,0,D,0,0,D,1.28,4.6,8,1.35,3.8,6.2,1.36,4,6.75,1.4,3.75,7,1.4,3.8,6.25,,
B1,01/12/01,Anderlecht,Mouscron,4,2,H,0,1,A,1.33,4.25,7.4,1.35,3.8,6.2,1.36,4,7,1.4,3.75,7,1.35,4,6.75,,
B1,01/12/01,Antwerp,Lokeren,1,1,D,1,0,H,2.67,3.2,2.32,2.6,3,2.2,2.62,3.25,2.25,2.6,3.25,2.3,2.65,3.3,2.2,,
B1,01/12/01,Beveren,Germinal,1,1,D,0,1,A,2.85,3.2,2.2,3,2.9,2,2.62,3.25,2.25,2.75,3.25,2.2,2.65,3.3,2.2,,
B1,01/12/01,Genk,St Truiden,2,2,D,0,2,A,1.4,3.9,6.6,1.45,3.5,5,1.4,3.8,6.5,1.4,3.75,7,1.4,3.8,6.25,,
B1,01/12/01,Louvieroise,Westerlo,3,3,D,1,1,D,2.05,3.25,3,2.3,2.9,2.5,2.2,3.25,2.75,2,3.3,3.1,,,,,
B1,01/12/01,Lierse,Molenbeek,1,2,A,1,1,D,1.75,3.4,3.85,1.65,3.2,3.9,1.85,3.3,3.5,1.91,3.4,3.25,1.85,3.4,3.3,,
B1,02/12/01,Aalst,Charleroi,1,1,D,0,1,A,2.25,3.2,2.75,2.2,3,2.6,2.25,3.25,2.62,2.25,3.3,2.62,2.3,3.3,2.5,,
B1,02/12/01,Club Brugge,Standard,1,3,A,0,2,A,1.52,3.6,5.35,1.5,3.5,5.4,1.5,3.5,5.75,1.53,3.6,5,1.53,3.6,5,,
B1,08/12/01,Beveren,Antwerp,2,3,A,0,1,A,2.2,3.15,2.85,2.2,2.9,2.7,2.2,3.25,2.75,2.1,3.25,2.9,2.1,3.35,2.75,,
B1,08/12/01,Charleroi,Gent,0,3,A,0,1,A,2.95,3.15,2.15,2.8,3,2.1,2.6,3.25,2.3,2.6,3.4,2.25,2.55,3.35,2.25,,
B1,08/12/01,Germinal,Lommel,3,0,H,2,0,H,1.57,3.55,4.85,1.55,3.3,4.5,1.6,3.5,4.6,1.57,3.5,5,1.6,3.65,4.2,,
B1,08/12/01,Lokeren,Louvieroise,2,2,D,2,1,H,1.35,4.2,7,1.35,3.8,6.2,1.4,3.75,7,1.36,4.33,6.5,,,,,
B1,08/12/01,Mouscron,Genk,2,4,A,1,2,A,2.75,3.35,2.2,2.35,3,2.35,2.88,3.3,2.1,2.7,3.3,2.2,2.6,3.4,2.2,,
B1,08/12/01,St Truiden,Lierse,0,2,A,0,0,D,1.8,3.25,3.85,1.85,3,3.3,1.8,3.3,3.75,1.73,3.4,4,1.75,3.4,3.7,,
B1,08/12/01,Standard,Aalst,2,0,H,2,0,H,1.28,4.5,8,1.25,4.3,8,1.3,4.33,8,1.25,5,8,1.2,4.9,10,,
B1,08/12/01,Westerlo,Anderlecht,1,2,A,0,0,D,3.5,3.25,1.88,2.9,3,2,3.6,3.4,1.8,3.4,3.5,1.83,3.45,3.45,1.8,,
B1,09/12/01,Molenbeek,Club Brugge,2,3,A,0,2,A,4.5,3.5,1.62,4,3.3,1.6,4.33,3.4,1.67,4,3.4,1.73,4,3.55,1.65,,
B1,18/12/01,Beveren,Anderlecht,1,4,A,0,4,A,5.45,3.75,1.48,5,3.5,1.45,5.25,3.5,1.53,6,3.75,1.44,5.4,3.8,1.45,,
B1,18/12/01,Mouscron,Club Brugge,2,0,H,1,0,H,4.3,3.5,1.64,3.8,3.1,1.7,4.2,3.5,1.67,4.33,3.4,1.67,4,3.55,1.65,,
B1,19/12/01,Antwerp,Louvieroise,0,0,D,0,0,D,1.72,3.45,4,1.7,3.1,3.8,1.73,3.4,4,1.73,3.4,4,,,,,
B1,19/12/01,Charleroi,Germinal,1,0,H,0,0,D,2.4,3.2,2.55,2.35,3,2.35,2.38,3.25,2.5,2.5,3.2,2.6,2.35,3.3,2.45,,
B1,19/12/01,Lokeren,Genk,2,2,D,0,0,D,2.5,3.25,2.4,2.3,2.9,2.5,2.4,3.4,2.4,2.38,3.3,2.5,2.35,3.3,2.45,,
B1,19/12/01,Molenbeek,Gent,0,1,A,0,0,D,3,3.3,2.05,3.4,3.1,1.8,2.88,3.4,2.05,3.25,3.3,1.9,2.5,3.3,2.3,,
B1,19/12/01,St Truiden,Aalst,3,1,H,2,1,H,1.68,3.55,4.1,1.65,3.2,3.9,1.73,3.4,4,1.67,3.25,4.5,1.7,3.5,3.8,,
B1,19/12/01,Standard,Lommel,2,1,H,2,0,H,1.3,4.5,7.6,1.35,3.8,6.2,1.33,4,8,1.3,4.5,7.5,1.25,5,7.25,,
B1,19/12/01,Westerlo,Lierse,5,4,H,1,1,D,2,3.25,3.2,2,3,2.9,2.05,3.3,3,2.1,3.25,2.88,2,3.4,2.9,,
B1,21/12/01,Anderlecht,Club Brugge,1,0,H,0,0,D,2.05,3.3,3.05,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.75,2.1,3.3,2.87,,
B1,22/12/01,Westerlo,Standard,1,2,A,1,2,A,3.2,3.3,1.95,2.9,3,2.2,3.3,3.3,1.91,3.4,3.25,1.91,3.1,3.3,1.95,,
B1,11/01/02,Louvieroise,Germinal,1,1,D,1,0,H,2.47,3.1,2.52,2.4,3.1,2.5,2.5,3.25,2.4,2.5,3.25,2.38,,,,,
B1,12/01/02,Beveren,Genk,1,6,A,0,2,A,4.3,3.5,1.66,3.8,3.1,1.7,4.2,3.5,1.67,4.33,3.4,1.67,4.2,3.7,1.6,,
B1,12/01/02,Lokeren,Lierse,2,1,H,0,0,D,1.6,3.45,4.8,1.65,3.1,4,1.57,3.5,5,1.53,3.6,5,1.55,3.75,4.5,,
B1,12/01/02,Molenbeek,Lommel,0,1,A,0,1,A,1.9,3.25,3.5,2,2.9,3,1.91,3.25,3.4,1.83,3.4,3.5,1.8,3.4,3.5,,
B1,12/01/02,Mouscron,Aalst,6,1,H,0,1,A,1.52,3.7,5,1.5,3.4,4.7,1.62,3.4,4.75,1.62,3.5,4.5,1.55,3.75,4.5,,
B1,12/01/02,St Truiden,Gent,0,1,A,0,1,A,2.92,3.25,2.1,3.1,3,2.1,2.75,3.25,2.2,2.62,3.4,2.2,2.65,3.3,2.2,,
B1,12/01/02,Westerlo,Club Brugge,1,4,A,0,1,A,4.1,3.45,1.7,4.8,3.5,1.55,3.8,3.4,1.75,4.33,3.4,1.67,3.8,3.5,1.7,,
B1,13/01/02,Antwerp,Anderlecht,2,2,D,1,0,H,4.4,3.45,1.65,5.4,3.8,1.45,4.2,3.5,1.67,4.5,3.5,1.62,3.8,3.5,1.7,,
B1,13/01/02,Standard,Charleroi,6,0,H,2,0,H,1.36,4,7.2,1.25,4.5,9,1.36,4,7,1.3,4.33,8,1.3,4.5,7,,
B1,19/01/02,Gent,Mouscron,1,1,D,0,1,A,1.5,3.65,5.7,1.5,3.7,5,1.57,3.5,5,1.53,3.6,5,1.5,3.7,5,,
B1,19/01/02,Anderlecht,Louvieroise,5,2,H,2,1,H,1.2,5.35,10.3,1.2,4.7,9,1.2,5.2,10,1.17,6,10,,,,,
B1,19/01/02,Charleroi,Molenbeek,3,1,H,1,1,D,1.85,3.3,3.7,1.85,3,3.3,1.83,3.3,3.6,1.8,3.4,3.6,1.7,3.4,3.9,,
B1,19/01/02,Genk,Antwerp,2,1,H,2,1,H,1.33,4.3,7.6,1.35,3.8,6.2,1.3,4.33,8,1.29,4.5,8,1.35,4,6.8,,
